Name,Relative Likelihood
MUNYANGA,2
MUNYATI,2
MUNYINDA,2
MUNYONSHI,2
MUNYUMBWE,2
MUPENGU,2
MUPINDE,2
MUSAKANYA,2
MUSALA,2
MUSAMBA,2
MUSANDA,2
MUSANSA,2
MUSHALA,2
MUSHIBA,2
MUSHIPI,2
MUSHITU,2
MUSIKILABI,2
MUSOLI,2
MUSOMALI,2
MUSOWE,2
MUSUKU,2
MUSUKWA,2
MUSUTE,2
MUSWEMA,2
MUTAKA,2
MUTAKILA,2
MUTANDA,2
MUTANUKA,2
MUTEFULA,2
MUTENGE,2
MUTESA,2
MUTIPULA,2
MUTOLWA,2
MUTUKWA,2
MUTUMWA,2
MUTUNTA,2
MUTUTA,2
MUVWENDE,2
MUWELE,2
MUYABA,2
MUYAKWABO,2
MUYAMBO,2
MUYANGA,2
MUYAWA,2
MUYOBE,2
MUYOMBO,2
MUYUYA,2
MUZALA,2
MUZAMAI,2
MUZENGEZA,2
MUZUMALA,2
MUZYA,2
MUZYALE,2
MWALONGO,2
MWALUSAKA,2
MWAMBAZI,2
MWAMBO,2
MWANAKATWE,2
MWANALUSHI,2
MWANAMULASHI,2
MWANAMUSIYA,2
MWANANGOMBE,2
MWANDIA,2
MWANDU,2
MWAULUKA,2
MWEENDO,2
MWELEBE,2
MWENDO,2
MWENSU,2
MWIINDE,2
MWIMBA,2
MWINZI,2
MWISE,2
MZUMARA,2
NACHANDA,2
NAFUKWE,2
NAKAPIZYA,2
NAKAUMA,2
NAKAWALA,2
NAKEEMPA,2
NAKWAMBWA,2
NALOMBA,2
NALUCHA,2
NAMAAMBO,2
NAMAKAU,2
NAMBALA,2
NAMBEYE,2
NAMBI,2
NAMBULE,2
NAMUKOLO,2
NAMUSHI,2
NAMUTULO,2
NAMWINGA,2
NANGANDU,2
NAOMY,2
NATAALA,2
NATALA,2
NAULUTA,2
NAWILA,2
NCHILILA,2
NCUBE,2
NDALA,2
NDEBELE,2
NDEKE,2
NDELEKI,2
NDEMANGA,2
NDONJI,2
NDUMBA,2
NEBA,2
NGALAMIKA,2
NGANDUKELO,2
NGANGA,2
NGOI,2
NGONA,2
NGONGO,2
NGOSHE,2
NGWENDE,2
NGWILA,2
NGWIRA,2
NJOKA,2
NKHONJELA,2
NKHOSI,2
NKHOWANI,2
NKOWANE,2
NKWANGA,2
NKWEMA,2
NOMBWANA,2
NOSIKU,2
NSAMBIKA,2
NSHINGANO,2
NSOMBO,2
NSWANA,2
NTAMBWA,2
NTHAWI,2
NUMBO,2
NYAMBI,2
NYAMBO,2
NYANDOWO,2
NYANOKA,2
NYIKA,2
NYONDO,2
NYUNDU,2
NZILA,2
OKPARA,2
PALI,2
PANDANDA,2
PASMORE,2
PENDA,2
POLA,2
PONDE,2
PYELE,2
RUDZWIDZO,2
SAITI,2
SAKAYI,2
SAKAZI,2
SALE,2
SAMBA,2
SAMENDE,2
SAMU,2
SAMULELA,2
SAMWENDA,2
SANDANDO,2
SANENE,2
SANGOMBE,2
SANKALIMBA,2
SANKONDO,2
SAPEZO,2
SASA,2
SAUTU,2
SAYA,2
SHABALENGU,2
SHAFULUMA,2
SHAMAKANDA,2
SHAMANGA,2
SHAMBA,2
SHAMILIMO,2
SHANGALA,2
SHAPWALINGA,2
SHEKE,2
SHIKAPANDE,2
SHILANDAMUKA,2
SHILIYA,2
SHILUNDA,2
SHIMOOKA,2
SHIMUYANDI,2
SHINGA,2
SHITIMA,2
SHULA,2
SIABENE,2
SIABWACHA,2
SIACHALINGA,2
SIACHIWENA,2
SIACHUMPI,2
SIALIWA,2
SIAMALABI,2
SIAMPANDE,2
SIAMWENZU,2
SIANGANGA,2
SIANJAME,2
SIANSIMUNA,2
SIANTUMBU,2
SIANYAMA,2
SIATOMBWE,2
SIAVULUMA,2
SIBESO,2
SIBOYA,2
SICHELA,2
SICHILA,2
SICHIMENZE,2
SICHINGA,2
SIKALE,2
SIKAONA,2
SIKASIBI,2
SIKASOTE,2
SIKAUBILA,2
SIKOPO,2
SIKOTA,2
SILENGA,2
SILUCHALI,2
SILUKUNI,2
